Time,Susceptible,Infected
14.040000,238658842.082624,1341157.917376
14.080000,238642758.059239,1357241.940761
14.120000,238626482.442303,1373517.557697
14.160000,238610012.980820,1389987.019181
14.200000,238593347.398099,1406652.601901
14.240000,238576483.391485,1423516.608515
14.280000,238559418.632077,1440581.367923
14.320000,238542150.764449,1457849.235551
14.360000,238524677.406368,1475322.593632
14.400000,238506996.148510,1493003.851490
14.440000,238489104.554170,1510895.445831
14.480000,238471000.158973,1528999.841027
14.520000,238452680.470582,1547319.529418
14.560000,238434142.968403,1565857.031597
14.600000,238415385.103286,1584614.896715
14.640000,238396404.297223,1603595.702777
14.680000,238377197.943051,1622802.056949
14.720000,238357763.404138,1642236.595862
14.760000,238338098.014083,1661901.985917
14.800000,238318199.076400,1681800.923600
14.840000,238298063.864205,1701936.135795
14.880000,238277689.619903,1722310.380097
14.920000,238257073.554865,1742926.445135
14.960000,238236212.849111,1763787.150889
15.000000,238215104.650983,1784895.349018
15.040000,238193746.076818,1806253.923182
15.080000,238172134.210624,1827865.789376
15.120000,238150266.103740,1849733.896260
15.160000,238128138.774508,1871861.225492
15.200000,238105749.207933,1894250.792068
15.240000,238083094.355342,1916905.644658
15.280000,238060171.134046,1939828.865954
15.320000,238036976.426990,1963023.573010
15.360000,238013507.082406,1986492.917594
15.400000,237989759.913466,2010240.086534
15.440000,237965731.697925,2034268.302075
15.480000,237941419.177766,2058580.822234
15.520000,237916819.058843,2083180.941157
15.560000,237891928.010520,2108071.989480
15.600000,237866742.665304,2133257.334696
15.640000,237841259.618484,2158740.381516
15.680000,237815475.427757,2184524.572243
15.720000,237789386.612861,2210613.387139
15.760000,237762989.655195,2237010.344805
15.800000,237736280.997450,2263719.002550
15.840000,237709257.043223,2290742.956777
15.880000,237681914.156638,2318085.843362
15.920000,237654248.661963,2345751.338038
15.960000,237626256.843219,2373743.156782
16.000000,237597934.943794,2402065.056206
16.040000,237569279.166052,2430720.833949
16.080000,237540285.670933,2459714.329067
16.120000,237510950.577563,2489049.422437
16.160000,237481269.962850,2518730.037150
16.200000,237451239.861085,2548760.138916
16.240000,237420856.263533,2579143.736467
16.280000,237390115.118035,2609884.881966
16.320000,237359012.328590,2640987.671410
16.360000,237327543.754951,2672456.245049
