Time,Susceptible,Infected,Recovered
37.350000,25811.172010,30495.783960,33693.044031
37.400000,25680.329588,30489.409447,33830.260965
37.450000,25550.178990,30482.373287,33967.447723
37.500000,25420.719214,30474.679448,34104.601338
37.550000,25291.949207,30466.331935,34241.718858
37.600000,25163.867864,30457.334785,34378.797351
37.650000,25036.474031,30447.692066,34515.833902
37.700000,24909.766505,30437.407878,34652.825617
37.750000,24783.744032,30426.486351,34789.769617
37.800000,24658.405314,30414.931642,34926.663044
37.850000,24533.749005,30402.747937,35063.503059
37.900000,24409.773713,30389.939448,35200.286839
37.950000,24286.478004,30376.510414,35337.011583
38.000000,24163.860396,30362.465096,35473.674508
38.050000,24041.919366,30347.807783,35610.272851
38.100000,23920.653351,30332.542782,35746.803866
38.150000,23800.060744,30316.674425,35883.264831
38.200000,23680.139898,30300.207064,36019.653038
38.250000,23560.889128,30283.145070,36155.965802
38.300000,23442.306709,30265.492833,36292.200458
38.350000,23324.390879,30247.254762,36428.354359
38.400000,23207.139839,30228.435282,36564.424879
38.450000,23090.551753,30209.038836,36700.409411
38.500000,22974.624751,30189.069879,36836.305370
38.550000,22859.356929,30168.532883,36972.110188
38.600000,22744.746346,30147.432334,37107.821320
38.650000,22630.791032,30125.772727,37243.436240
38.700000,22517.488984,30103.558573,37378.952443
38.750000,22404.838166,30080.794391,37514.367442
38.800000,22292.836514,30057.484712,37649.678774
38.850000,22181.481932,30033.634075,37784.883993
38.900000,22070.772297,30009.247027,37919.980676
38.950000,21960.705457,29984.328124,38054.966419
39.000000,21851.279234,29958.881928,38189.838838
39.050000,21742.491420,29932.913008,38324.595572
39.100000,21634.339784,29906.425938,38459.234278
39.150000,21526.822070,29879.425295,38593.752635
39.200000,21419.935996,29851.915662,38728.148342
39.250000,21313.679257,29823.901624,38862.419120
39.300000,21208.049525,29795.387768,38996.562707
39.350000,21103.044450,29766.378684,39130.576867
39.400000,20998.661660,29736.878961,39264.459379
39.450000,20894.898762,29706.893190,39398.208048
39.500000,20791.753344,29676.425960,39531.820696
39.550000,20689.222972,29645.481862,39665.295167
39.600000,20587.305195,29614.065480,39798.629324
39.650000,20485.997544,29582.181401,39931.821054
39.700000,20385.297531,29549.834206,40064.868262
39.750000,20285.202653,29517.028473,40197.768874
39.800000,20185.710387,29483.768775,40330.520838
39.850000,20086.818199,29450.059682,40463.122119
39.900000,19988.523536,29415.905757,40595.570707
39.950000,19890.823833,29381.311556,40727.864611
40.000000,19793.716510,29346.281632,40860.001858
40.050000,19697.198973,29310.820528,40991.980499
40.100000,19601.268618,29274.932780,41123.798603
40.150000,19505.922825,29238.622915,41255.454260
40.200000,19411.158965,29201.895452,41386.945583
40.250000,19316.974398,29164.754902,41518.270700
40.300000,19223.366472,29127.205764,41649.427764
40.350000,19130.332526,29089.252529,41780.414946
40.400000,19037.869889,29050.899674,41911.230437
40.450000,18945.975882,29012.151668,42041.872450
40.500000,18854.647816,28973.012968,42172.339216
40.550000,18763.882996,28933.488016,42302.628987
40.600000,18673.678719,28893.581245,42432.740036
40.650000,18584.032274,28853.297073,42562.670652
40.700000,18494.940945,28812.639906,42692.419150
40.750000,18406.402008,28771.614133,42821.983859
40.800000,18318.412736,28730.224134,42951.363131
40.850000,18230.970395,28688.474269,43080.555336
40.900000,18144.072247,28646.368887,43209.558866
40.950000,18057.715551,28603.912320,43338.372129
41.000000,17971.897561,28561.108883,43466.993556
41.050000,17886.615527,28517.962878,43595.421595
41.100000,17801.866697,28474.478588,43723.654715
41.150000,17717.648317,28430.660281,43851.691402
41.200000,17633.957631,28386.512206,43979.530163
41.250000,17550.791880,28342.038597,44107.169523
41.300000,17468.148304,28297.243668,44234.608028
41.350000,17386.024143,28252.131616,44361.844241
41.400000,17304.416636,28206.706621,44488.876743
41.450000,17223.323022,28160.972841,44615.704137
41.500000,17142.740539,28114.934420,44742.325042
41.550000,17062.666426,28068.595478,44868.738096
41.600000,16983.097925,28021.960119,44994.941956
41.650000,16904.032276,27975.032425,45120.935299
41.700000,16825.466723,27927.816462,45246.716816
41.750000,16747.398509,27880.316271,45372.285220
41.800000,16669.824883,27832.535875,45497.639242
41.850000,16592.743093,27784.479278,45622.777629
41.900000,16516.150392,27736.150461,45747.699147
41.950000,16440.044035,27687.553385,45872.402581
42.000000,16364.421280,27638.691989,45996.886731
42.050000,16289.279389,27589.570193,46121.150418
42.100000,16214.615630,27540.191892,46245.192478
42.150000,16140.427272,27490.560962,46369.011766
42.200000,16066.711589,27440.681257,46492.607154
42.250000,15993.465862,27390.556608,46615.977530
42.300000,15920.687374,27340.190825,46739.121801
42.350000,15848.373416,27289.587693,46862.038891
42.400000,15776.521281,27238.750978,46984.727740
42.450000,15705.128272,27187.684423,47107.187305
42.500000,15634.191694,27136.391745,47229.416561
42.550000,15563.708860,27084.876642,47351.414497
42.600000,15493.677090,27033.142787,47473.180123
42.650000,15424.093708,26981.193832,47594.712460
42.700000,15354.956048,26929.033402,47716.010550
42.750000,15286.261448,26876.665103,47837.073449
42.800000,15218.007255,26824.092516,47957.900229
42.850000,15150.190822,26771.319198,48078.489980
42.900000,15082.809512,26718.348682,48198.841806
42.950000,15015.860692,26665.184480,48318.954828
43.000000,14949.341740,26611.830079,48438.828181
43.050000,14883.250041,26558.288941,48558.461018
43.100000,14817.582987,26504.564506,48677.852507
43.150000,14752.337981,26450.660189,48797.001829
43.200000,14687.512433,26396.579384,48915.908184
43.250000,14623.103760,26342.325456,49034.570784
43.300000,14559.109390,26287.901751,49152.988858
43.350000,14495.526761,26233.311589,49271.161650
43.400000,14432.353317,26178.558265,49389.088418
43.450000,14369.586513,26123.645052,49506.768435
43.500000,14307.223814,26068.575197,49624.200988
43.550000,14245.262693,26013.351926,49741.385381
43.600000,14183.700633,25957.978437,49858.320930
43.650000,14122.535127,25902.457906,49975.006967
43.700000,14061.763678,25846.793486,50091.442836
43.750000,14001.383799,25790.988304,50207.627897
43.800000,13941.393012,25735.045464,50323.561524
43.850000,13881.788851,25678.968045,50439.243104
43.900000,13822.568858,25622.759103,50554.672039
43.950000,13763.730586,25566.421670,50669.847743
44.000000,13705.271601,25509.958753,50784.769646
44.050000,13647.189475,25453.373336,50899.437188
44.100000,13589.481795,25396.668379,51013.849827
44.150000,13532.146155,25339.846816,51128.007029
44.200000,13475.180162,25282.911561,51241.908277
44.250000,13418.581433,25225.865501,51355.553067
44.300000,13362.347596,25168.711499,51468.940905
44.350000,13306.476290,25111.452397,51582.071313
44.400000,13250.965166,25054.091011,51694.943823
44.450000,13195.811883,24996.630134,51807.557982
44.500000,13141.014115,24939.072535,51919.913349
44.550000,13086.569545,24881.420961,52032.009494
44.600000,13032.475867,24823.678132,52143.846001
44.650000,12978.730787,24765.846749,52255.422465
44.700000,12925.332022,24707.929485,52366.738493
44.750000,12872.277301,24649.928994,52477.793705
44.800000,12819.564363,24591.847904,52588.587733
44.850000,12767.190961,24533.688820,52699.120219
44.900000,12715.154856,24475.454325,52809.390819
44.950000,12663.453824,24417.146977,52919.399199
45.000000,12612.085649,24358.769315,53029.145037
45.050000,12561.048130,24300.323849,53138.628021
45.100000,12510.339075,24241.813072,53247.847853
45.150000,12459.956305,24183.239451,53356.804245
45.200000,12409.897652,24124.605431,53465.496918
45.250000,12360.160960,24065.913434,53573.925606
45.300000,12310.744084,24007.165860,53682.090055
45.350000,12261.644892,23948.365088,53789.990019
45.400000,12212.861263,23889.513472,53897.625265
45.450000,12164.391087,23830.613345,54004.995568
45.500000,12116.232266,23771.667019,54112.100716
45.550000,12068.382714,23712.676781,54218.940505
45.600000,12020.840357,23653.644899,54325.514744
45.650000,11973.603132,23594.573618,54431.823250
45.700000,11926.668988,23535.465161,54537.865851
45.750000,11880.035886,23476.321730,54643.642384
45.800000,11833.701799,23417.145503,54749.152697
45.850000,11787.664711,23357.938642,54854.396648
45.900000,11741.922617,23298.703281,54959.374102
45.950000,11696.473525,23239.441537,55064.084938
46.000000,11651.315454,23180.155506,55168.529040
46.050000,11606.446436,23120.847260,55272.706304
46.100000,11561.864512,23061.518853,55376.616635
46.150000,11517.567737,23002.172317,55480.259946
46.200000,11473.554176,22942.809662,55583.636162
46.250000,11429.821908,22883.432880,55686.745212
46.300000,11386.369021,22824.043940,55789.587039
46.350000,11343.193615,22764.644793,55892.161592
46.400000,11300.293802,22705.237368,55994.468830
46.450000,11257.667707,22645.823574,56096.508719
46.500000,11215.313463,22586.405301,56198.281235
46.550000,11173.229219,22526.984418,56299.786363
46.600000,11131.413131,22467.562775,56401.024094
46.650000,11089.863370,22408.142201,56501.994429
46.700000,11048.578115,22348.724507,56602.697378
46.750000,11007.555559,22289.311484,56703.132957
46.800000,10966.793906,22229.904902,56803.301191
46.850000,10926.291371,22170.506516,56903.202113
46.900000,10886.046179,22111.118056,57002.835765
46.950000,10846.056568,22051.741239,57102.202193
47.000000,10806.320786,21992.377758,57201.301456
47.050000,10766.837093,21933.029291,57300.133616
47.100000,10727.603760,21873.697495,57398.698744
47.150000,10688.619069,21814.384010,57496.996921
47.200000,10649.881313,21755.090457,57595.028230
47.250000,10611.388795,21695.818438,57692.792767
47.300000,10573.139831,21636.569537,57790.290631
